Phi,Psi,Energy
90,-180,-818.1657566
90,-170,-818.1426693
90,-160,-818.151395
90,-150,-818.1635829
-160,80,-818.1610586
90,90,-818.1633573
90,100,-818.1570209
90,110,-818.1597194
90,120,-818.1626275
90,130,-818.1659299
90,140,-818.1670105
90,150,-818.1572926
90,160,-818.163011
90,170,-818.1767451
90,180,-818.1721625
100,-180,-818.1652834
100,-170,-818.155364
100,-160,-818.1536121
100,-150,-818.1668289
100,90,-818.1622195
100,100,-818.1624252
100,110,-818.1712455
100,120,-818.1689979
100,130,-818.1681924
100,140,-818.1713636
100,150,-818.1761995
100,160,-818.1620914
100,170,-818.175484
100,180,-818.1617781
110,-180,-818.1677669
110,-170,-818.1767451
110,-160,-818.1721574
110,-150,-818.1604337
110,90,-818.1652834
110,100,-818.1775928
110,110,-818.1743147
110,120,-818.166612
110,130,-818.1666664
110,140,-818.1811165
110,150,-818.1609583
110,160,-818.1538532
110,170,-818.1743067
110,180,-818.1713411
120,-180,-818.1316455
120,-170,-818.1217455
120,-160,-818.1581827
120,-150,-818.1565879
-150,-180,-818.1607197
120,90,-818.1753661
120,100,-818.1674538
-150,-170,-818.1580499
120,110,-818.1396431
120,120,-818.1543216
120,130,-818.1659863
120,140,-818.1565879
120,150,-818.1753661
120,160,-818.1674538
120,170,-818.1501631
120,180,-818.118144
130,-180,-818.1430876
130,-170,-818.1432205
-150,-160,-818.1622275
